feature,importance
TOTAL_FLOOR_AREA,44192
CONSTRUCTION_AGE_BAND,19544
envelope_composite_score,18173
MAINHEAT_ENERGY_EFF,15438
HOT_WATER_ENERGY_EFF,14849
HOT_WATER_ENV_EFF,12434
ROOF_ENERGY_EFF,11010
MAINHEAT_ENV_EFF,10080
WALLS_ENERGY_EFF,8502
ROOF_INSULATION,8241
WINDOWS_ENERGY_EFF,7756
PROPERTY_TYPE_Flat,4877
PROPERTY_TYPE_House,4756
built_form_simplified_Mid-Terrace,4359
WALL_INSULATION,4143
MAIN_FUEL_Mains gas,3972
BUILT_FORM_Semi-Detached,3682
MAINHEAT_DESCRIPTION_Gas boiler,3471
HOTWATER_SOURCE_Main System,3150
MAIN_FUEL_Electricity,3076
WALL_TYPE_Cavity,2791
BUILT_FORM_Mid-Terrace,2758
ROOF_TYPE_Pitched,2699
ROOF_TYPE_Roof Room,2500
HOTWATER_SOURCE_Electric Immersion,2429
ROOF_ENV_EFF,2399
WALL_TYPE_Solid Brick,2125
MAINHEAT_DESCRIPTION_LPG,2112
PROPERTY_TYPE_Maisonette,2105
MAINHEAT_DESCRIPTION_Community,1973
built_form_simplified_End-Terrace,1951
MAINHEAT_DESCRIPTION_Electric storage,1765
MAINHEAT_DESCRIPTION_Heat pump,1762
WALL_TYPE_System Built,1734
MAIN_FUEL_LPG,1702
WALLS_ENV_EFF,1681
BUILT_FORM_End-Terrace,1652
WINDOWS_ENV_EFF,1513
WALL_TYPE_Timber Frame,1502
MAINHEAT_DESCRIPTION_Oil boiler,1400
HOTWATER_SOLAR,1297
WINDOWS_DESCRIPTION_Triple glazing,1289
MAIN_FUEL_Oil,1252
HOTWATER_SOURCE_Dedicated Gas,1242
WALL_TYPE_Sandstone / Limestone,1240
WALL_TYPE_Granite / Whinstone,1037
glazing_upgrade_flag,985
WINDOWS_DESCRIPTION_Secondary glazing,888
BUILT_FORM_Enclosed Mid-Terrace,875
built_form_simplified_Semi-detached,819
BUILT_FORM_Enclosed End-Terrace,760
ROOF_TYPE_Unknown,625
WALL_TYPE_Unknown,532
HAS_OWN_ROOF,386
PROPERTY_TYPE_Park home,304
ROOF_TYPE_Thatched,270
HOTWATER_SOURCE_Heat Pump,267
WALL_TYPE_Cob,249
WALL_TYPE_Park Home,205
WINDOWS_DESCRIPTION_Single glazing,185
HOTWATER_SOURCE_Dedicated Oil,166
ROOF_TYPE_No Roof,163
HOTWATER_SOURCE_Unknown,108
HOTWATER_SOURCE_Dedicated Solid Fuel,102
WALL_TYPE_Other,0
WALL_TYPE_Curtain Wall,0
